totalyearlycompensation,yearsofexperience,yearsatcompany,is_female,is_faang,Data Scientist,Hardware Engineer,Product Designer,Product Manager,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager,education_enc,CA,MA,NY,WA
125000,1.0,0.0,0,0,1,0,0,0,0,0,0,0,4.0,0,0,0,0
170000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
332000,1.0,0.0,0,1,1,0,0,0,0,0,0,0,4.0,1,0,0,0
240000,3.0,3.0,1,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
310000,25.0,9.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
105000,2.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
200000,0.0,0.0,1,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
187000,1.0,1.0,0,1,0,1,0,0,0,0,0,0,4.0,1,0,0,0
307000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
500000,4.0,0.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
168000,2.0,2.0,0,0,0,1,0,0,0,0,0,0,4.0,0,0,0,0
246000,1.0,0.0,0,1,0,1,0,0,0,0,0,0,4.0,1,0,0,0
210000,1.0,1.0,0,0,1,0,0,0,0,0,0,0,4.0,1,0,0,0
253000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,4.0,0,0,0,1
156000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
250000,1.0,0.0,1,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
160000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
690000,8.0,8.0,1,0,0,0,0,0,1,0,0,0,4.0,0,0,0,1
306000,5.0,4.0,0,1,1,0,0,0,0,0,0,0,4.0,1,0,0,0
242000,8.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
172000,5.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
255000,5.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
144000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
515000,15.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
